date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200924,TX,723919,5136914.0,,5860833,3204.0,,1041.0,,,,642169.0,A,9/24/2020 18:05,2020-09-24T18:05:00Z,09/24 14:05,15267.0,,2020-09-24T18:05:00Z,5860833.0,,,723919,,,,,391678.0,35421.0,,,,,,,77981.0,9120.0,48,4320,115839,5860833,posNeg,120159,5860833,138,0,4fc5c5dcd95064fad8d66ca0befd27f534cabd93,0,0,0,0,0,
20200923,TX,719599,5021075.0,,5740674,3195.0,,1041.0,,,,618054.0,A,9/23/2020 18:15,2020-09-23T18:15:00Z,09/23 14:15,15129.0,,2020-09-23T18:15:00Z,5740674.0,,,719599,,,,,390538.0,35217.0,,,,,,,76275.0,9003.0,48,3392,69550,5740674,posNeg,72942,5740674,135,0,b782ae3cef51213c4192af8df10043e5459198fc,0,0,0,0,0,
20200922,TX,716207,4951525.0,,5667732,3207.0,,1073.0,,,,613896.0,A,9/22/2020 17:40,2020-09-22T17:40:00Z,09/22 13:40,14994.0,,2020-09-22T17:40:00Z,5667732.0,,,716207,,,,,389207.0,35026.0,,,,,,,71209.0,8712.0,48,17820,27414,5667732,posNeg,45234,5667732,77,0,8bf3860f07ce774ea0ccb8ca66b6e61182f53565,0,0,0,0,0,
20200921,TX,698387,4924111.0,,5622498,3132.0,,1057.0,,,,611856.0,A,9/21/2020 17:45,2020-09-21T17:45:00Z,09/21 13:45,14917.0,,2020-09-21T17:45:00Z,5622498.0,,,698387,,,,,386966.0,34843.0,,,,,,,64302.0,7867.0,48,9853,19157,5622498,posNeg,29010,5622498,24,0,70e4f48d35b0756db317e9a5076e409da0b732c3,0,0,0,0,0,
20200920,TX,688534,4904954.0,,5593488,3081.0,,1057.0,,,,609210.0,A,9/20/2020 15:50,2020-09-20T15:50:00Z,09/20 11:50,14893.0,,2020-09-20T15:50:00Z,5593488.0,,,688534,,,,,385351.0,34639.0,,,,,,,63908.0,7793.0,48,2466,27846,5593488,posNeg,30312,5593488,45,0,dda19cfcd03fde717fc7185489907e372c264b25,0,0,0,0,0,
20200919,TX,686068,4877108.0,,5563176,3124.0,,1083.0,,,,605522.0,A,9/19/2020 17:05,2020-09-19T17:05:00Z,09/19 13:05,14848.0,,2020-09-19T17:05:00Z,5563176.0,,,686068,,,,,383876.0,34415.0,,,,,,,62291.0,7637.0,48,3827,114548,5563176,posNeg,118375,5563176,135,0,6abf1f916bb035d7b3b65674f2a272034880d0b7,0,0,0,0,0,
20200918,TX,682241,4762560.0,,5444801,3172.0,,1107.0,,,,600662.0,A,9/18/2020 16:25,2020-09-18T16:25:00Z,09/18 12:25,14713.0,,2020-09-18T16:25:00Z,5444801.0,,,682241,,,,,381430.0,34084.0,,,,,,,59051.0,7439.0,48,3422,96203,5444801,posNeg,99625,5444801,123,0,01ae553b738298729e92c53cb9456c4aedf80ecf,0,0,0,0,0,
20200917,TX,678819,4666357.0,,5345176,3246.0,,1139.0,,,,594817.0,A,9/17/2020 17:25,2020-09-17T17:25:00Z,09/17 13:25,14590.0,,2020-09-17T17:25:00Z,5345176.0,,,678819,,,,,378541.0,33718.0,,,,,,,56707.0,7280.0,48,4047,41509,5345176,posNeg,45556,5345176,112,0,9b4145f5a33cef8faf0d9de3cd4203e399202cdc,0,0,0,0,0,
20200916,TX,674772,4624848.0,,5299620,3249.0,,1139.0,,,,590837.0,A,9/16/2020 17:30,2020-09-16T17:30:00Z,09/16 13:30,14478.0,,2020-09-16T17:30:00Z,5299620.0,,,674772,,,,,377019.0,33463.0,,,,,,,52679.0,7131.0,48,6026,46052,5299620,posNeg,52078,5299620,135,0,cdd3a269c4ab391d420a2edd134594145b352756,0,0,0,0,0,
20200915,TX,668746,4578796.0,,5247542,3311.0,,1151.0,,,,585912.0,A+,9/15/2020 18:30,2020-09-15T18:30:00Z,09/15 14:30,14343.0,,2020-09-15T18:30:00Z,5247542.0,,,668746,,,,,373766.0,33086.0,,,,,,,50658.0,6915.0,48,5301,28994,5247542,posNeg,34295,5247542,132,0,31123d2efe9025c61538d9aba05b61667c44a44f,0,0,0,0,0,
20200914,TX,663445,4549802.0,,5213247,3391.0,,1165.0,,,,581204.0,A+,9/13/2020 16:45,2020-09-13T16:45:00Z,09/13 12:45,14211.0,,2020-09-13T16:45:00Z,5213247.0,,,663445,,,,,373406.0,33050.0,,,,,,,50387.0,6891.0,48,4011,-340903,5213247,posNeg,-336892,5213247,21,0,b2ef9cf110a11f5d34226b715a3a49a044b3a78d,0,0,0,0,0,
20200913,TX,659434,4890705.0,,5550139,3319.0,,1140.0,,,,577832.0,A+,9/13/2020 16:45,2020-09-13T16:45:00Z,09/13 12:45,14190.0,,2020-09-13T16:45:00Z,5550139.0,,,659434,,,,,390318.0,34286.0,,,,,,,49181.0,6846.0,48,1845,28653,5550139,posNeg,30498,5550139,47,0,b56e0e55a9d8c5465e9da1790626e79daff97ba9,0,0,0,0,0,
20200912,TX,657589,4862052.0,,5519641,3371.0,,1174.0,,,,573670.0,A+,9/11/2020 16:25,2020-09-11T16:25:00Z,09/11 12:25,14143.0,,2020-09-11T16:25:00Z,5519641.0,,,657589,,,,,383596.0,33571.0,,,,,,,44740.0,6299.0,48,4233,61367,5519641,posNeg,65600,5519641,146,0,c7d89c318abcf68ccd415afb9ad8e524cfa4604e,0,0,0,0,0,
20200911,TX,653356,4800685.0,,5454041,3465.0,,1198.0,,,,568067.0,A+,9/11/2020 16:25,2020-09-11T16:25:00Z,09/11 12:25,13997.0,,2020-09-11T16:25:00Z,5454041.0,,,653356,,,,,380352.0,33010.0,,,,,,,43841.0,6163.0,48,3547,45237,5454041,posNeg,48784,5454041,144,0,974f3e0dcda3886d8aac8415e75d839aac67c634,0,0,0,0,0,
20200910,TX,649809,4755448.0,,5405257,3575.0,,1267.0,,,,564114.0,A+,9/10/2020 18:00,2020-09-10T18:00:00Z,09/10 14:00,13853.0,,2020-09-10T18:00:00Z,5405257.0,,,649809,,,,,377901.0,32735.0,,,,,,,43568.0,6153.0,48,4018,29107,5405257,posNeg,33125,5405257,161,0,06cf86a2dbbe44b1f208c16b4f727a97c3da0cc7,0,0,0,0,0,
20200909,TX,645791,4726341.0,,5372132,3604.0,,1347.0,,,,558894.0,A+,9/9/2020 17:35,2020-09-09T17:35:00Z,09/09 13:35,13692.0,,2020-09-09T17:35:00Z,5372132.0,,,645791,,,,,374319.0,32352.0,,,,,,,41022.0,5813.0,48,4000,29006,5372132,posNeg,33006,5372132,139,0,ef13c375a8595cd44d9727838985087f7cb1cd6f,0,0,0,0,0,
20200908,TX,641791,4697335.0,,5339126,3701.0,,1322.0,,,,553409.0,A+,9/8/2020 17:55,2020-09-08T17:55:00Z,09/08 13:55,13553.0,,2020-09-08T17:55:00Z,5339126.0,,,641791,,,,,374045.0,32328.0,,,,,,,40671.0,5776.0,48,1421,16706,5339126,posNeg,18127,5339126,61,0,8177546ce5489369ce5a08ef1798c37700a2f140,0,0,0,0,0,
20200907,TX,640370,4680629.0,,5320999,3537.0,,1322.0,,,,543412.0,A+,9/7/2020 16:30,2020-09-07T16:30:00Z,09/07 12:30,13492.0,,2020-09-07T16:30:00Z,5320999.0,,,640370,,,,,371102.0,32006.0,,,,,,,35136.0,5221.0,48,2060,36360,5320999,posNeg,38420,5320999,20,0,a673ea5ffe0353628d3cae51908768276df40808,0,0,0,0,0,
20200906,TX,638310,4644269.0,,5282579,3715.0,,1409.0,,,,543412.0,A+,9/6/2020 17:50,2020-09-06T17:50:00Z,09/06 13:50,13472.0,,2020-09-06T17:50:00Z,5282579.0,,,638310,,,,,369645.0,31773.0,,,,,,,34939.0,5183.0,48,2995,95636,5282579,posNeg,98631,5282579,64,0,78fa21d1517b37ac14538c0bd22a5da3e5b3006c,0,0,0,0,0,
20200905,TX,635315,4548633.0,,5183948,3973.0,,1409.0,,,,538282.0,A+,9/5/2020 16:40,2020-09-05T16:40:00Z,09/05 12:40,13408.0,,2020-09-05T16:40:00Z,5183948.0,,,635315,,,,,368062.0,31521.0,,,,,,,34398.0,5076.0,48,4486,59709,5183948,posNeg,64195,5183948,177,0,8218f6dfefa62e2a580d4ed4b4dff0696ddb9077,0,0,0,0,0,
20200904,TX,630829,4488924.0,,5119753,3889.0,,1433.0,,,,532223.0,A+,9/4/2020 18:00,2020-09-04T18:00:00Z,09/04 14:00,13231.0,,2020-09-04T18:00:00Z,5119753.0,,,630829,,,,,365953.0,30982.0,,,,,,,32697.0,4750.0,48,5482,6768,5119753,posNeg,12250,5119753,140,0,1fda85a57f23740fd50bc83541fe4f009c223e0f,0,0,0,0,0,
20200903,TX,625347,4482156.0,,5107503,4075.0,,1433.0,,,,527359.0,A+,9/3/2020 17:00,2020-09-03T17:00:00Z,09/03 13:00,13091.0,,2020-09-03T17:00:00Z,5107503.0,,,625347,,,,,361848.0,30524.0,,,,,,,27891.0,3851.0,48,3680,34961,5107503,posNeg,38641,5107503,221,0,676395ab8d213d1f9eaa14ee167d3668c222facc,0,0,0,0,0,
20200902,TX,621667,4447195.0,,5068862,4149.0,,1476.0,,,,522087.0,A+,9/2/2020 17:00,2020-09-02T17:00:00Z,09/02 13:00,12870.0,,2020-09-02T17:00:00Z,5068862.0,,,621667,,,,,360236.0,30213.0,,,,,,,26210.0,3640.0,48,4334,30974,5068862,posNeg,35308,5068862,189,0,9cc22ac0c1115c74bbdf243eec60e8c53bbf483c,0,0,0,0,0,
20200901,TX,617333,4416221.0,,5033554,4144.0,,1525.0,,,,514861.0,A+,9/1/2020 16:30,2020-09-01T16:30:00Z,09/01 12:30,12681.0,,2020-09-01T16:30:00Z,5033554.0,,,617333,,,,,359593.0,30159.0,,,,,,,25577.0,3529.0,48,4364,67637,5033554,posNeg,72001,5033554,145,0,9f5bc1a8d744d0b67826563d851e730271ce700e,0,0,0,0,0,
20200831,TX,612969,4348584.0,,4961553,4203.0,,1525.0,,,,507499.0,A+,8/31/2020 16:45,2020-08-31T16:45:00Z,08/31 12:45,12536.0,,2020-08-31T16:45:00Z,4961553.0,,,612969,,,,,358718.0,30025.0,,,,,,,25360.0,3497.0,48,2615,34226,4961553,posNeg,36841,4961553,26,0,e9d7ededaad96b5971714fc1b515ed2dae7da9df,0,0,0,0,0,
20200830,TX,610354,4314358.0,,4924712,4172.0,,1566.0,,,,499518.0,A+,8/30/2020 16:05,2020-08-30T16:05:00Z,08/30 12:05,12510.0,,2020-08-30T16:05:00Z,4924712.0,,,610354,,,,,356857.0,29723.0,,,,,,,25162.0,3460.0,48,3824,19916,4924712,posNeg,23740,4924712,90,0,2a4e2d76fd38a63a349657800a83e92488b42cdd,0,0,0,0,0,
20200829,TX,606530,4294442.0,,4900972,4273.0,,1648.0,,,,492921.0,A+,8/29/2020 16:05,2020-08-29T16:05:00Z,08/29 12:05,12420.0,,2020-08-29T16:05:00Z,4900972.0,,,606530,,,,,356229.0,29635.0,,,,,,,24176.0,3371.0,48,4762,53848,4900972,posNeg,58610,4900972,154,0,9cbad83b81c4a4b3fca987cec7ca719f6e38e931,0,0,0,0,0,
20200828,TX,601768,4240594.0,,4842362,4422.0,,1636.0,,,,484880.0,A,8/28/2020 16:50,2020-08-28T16:50:00Z,08/28 12:50,12266.0,,2020-08-28T16:50:00Z,4842362.0,,,601768,,,,,353966.0,29287.0,,,,,,,23724.0,3336.0,48,4031,44417,4842362,posNeg,48448,4842362,196,0,b67a1b6293c7901edd29d4c839fff80469bffe2d,0,0,0,0,0,
20200827,TX,597737,4196177.0,,4793914,4489.0,,1704.0,,,,478752.0,A,8/27/2020 18:35,2020-08-27T18:35:00Z,08/27 14:35,12070.0,,2020-08-27T18:35:00Z,4793914.0,,,597737,,,,,351564.0,28870.0,,,,,,,23267.0,3299.0,48,5600,23674,4793914,posNeg,29274,4793914,265,0,fc0837ad751f98106e6c9f8c80ed20574e89ec8e,0,0,0,0,0,
20200826,TX,592137,4172503.0,,4764640,4806.0,,1723.0,,,,472421.0,A,8/26/2020 18:20,2020-08-26T18:20:00Z,08/26 14:20,11805.0,,2020-08-26T18:20:00Z,4764640.0,,,592137,,,,,348384.0,28439.0,,,,,,,22361.0,3213.0,48,5407,34674,4764640,posNeg,40081,4764640,229,0,65a3aa105d4891352d23eb75ffbc0a051151b1a9,0,0,0,0,0,
20200825,TX,586730,4137829.0,,4724559,4907.0,,1799.0,,,,466550.0,A,8/25/2020 17:50,2020-08-25T17:50:00Z,08/25 13:50,11576.0,,2020-08-25T17:50:00Z,4724559.0,,,586730,,,,,346519.0,28100.0,,,,,,,21651.0,3151.0,48,6346,47338,4724559,posNeg,53684,4724559,181,0,987cb4d1e671c9e6b209383a72f0567435ad3dfc,0,0,0,0,0,
20200824,TX,580384,4090491.0,,4670875,5019.0,,1809.0,,,,457182.0,A,8/24/2020 18:35,2020-08-24T18:35:00Z,08/24 14:35,11395.0,,2020-08-24T18:35:00Z,4668028.0,,,580384,,,,,344218.0,27726.0,,,,,,,21648.0,3151.0,48,2847,0,4670875,posNeg,2847,4670875,25,0,bdf2127d6d27e01cfdca0dd2012d64fbafea54d9,0,0,0,0,0,
20200823,TX,577537,4090491.0,,4668028,5186.0,,1878.0,,,,451776.0,A,8/23/2020 16:05,2020-08-23T16:05:00Z,08/23 12:05,11370.0,,2020-08-23T16:05:00Z,4668028.0,,,577537,,,,,344218.0,27726.0,,,,,,,21648.0,3151.0,48,4398,22770,4668028,posNeg,27168,4668028,104,0,bf9f57c3149f768ac4ddd58ce3d3df4a44c6fe9b,0,0,0,0,0,
20200822,TX,573139,4067721.0,,4640860,5274.0,,1963.0,,,,446030.0,A,8/22/2020 16:40,2020-08-22T16:40:00Z,08/22 12:40,11266.0,,2020-08-22T16:40:00Z,4640860.0,,,573139,,,,,342277.0,27414.0,,,,,,,21247.0,3117.0,48,5559,55275,4640860,posNeg,60834,4640860,215,0,2602f9b07be394e27e897b0f499e70222fd5bed2,0,0,0,0,0,
20200821,TX,567580,4012446.0,,4580026,5566.0,,1979.0,,,,438825.0,A,8/21/2020 16:30,2020-08-21T16:30:00Z,08/21 12:30,11051.0,,2020-08-21T16:30:00Z,4580026.0,,,567580,,,,,338016.0,26824.0,,,,,,,19189.0,2808.0,48,5021,27936,4580026,posNeg,32957,4580026,258,0,bc0bcaf0a4ec2c4d930cc5615d6520c5010ee9c0,0,0,0,0,0,
20200820,TX,562559,3984510.0,,4547069,5635.0,,1979.0,,,,431960.0,A,8/20/2020 16:40,2020-08-20T16:40:00Z,08/20 12:40,10793.0,,2020-08-20T16:40:00Z,4547069.0,,,562559,,,,,335184.0,26337.0,,,,,,,18883.0,2781.0,48,5303,24577,4547069,posNeg,29880,4547069,234,0,11e3ad555e3a78390e1d32d5a7610bfa86f688af,0,0,0,0,0,
20200819,TX,557256,3959933.0,,4517189,5974.0,,2107.0,,,,424685.0,A,8/19/2020 17:40,2020-08-19T17:40:00Z,08/19 13:40,10559.0,,2020-08-19T17:40:00Z,4517189.0,,,557256,,,,,333355.0,25995.0,,,,,,,18620.0,2764.0,48,7024,9520,4517189,posNeg,16544,4517189,309,0,db2e5ab2ef6f339b54f0cc845cc0fd0f993abc4f,0,0,0,0,0,
20200818,TX,550232,3950413.0,,4500645,6210.0,,2179.0,,,,415903.0,A,8/18/2020 16:40,2020-08-18T16:40:00Z,08/18 12:40,10250.0,,2020-08-18T16:40:00Z,4500645.0,,,550232,,,,,326216.0,24732.0,,,,,,,18244.0,2734.0,48,7282,17196,4500645,posNeg,24478,4500645,216,0,44d9813eaacb3fc673dd436f96709f63d5c88260,0,0,0,0,0,
20200817,TX,542950,3933217.0,,4476167,6200.0,,2240.0,,,,405817.0,A,8/17/2020 16:55,2020-08-17T16:55:00Z,08/17 12:55,10034.0,,2020-08-17T16:55:00Z,4476167.0,,,542950,,,,,322433.0,23797.0,,,,,,,17887.0,2694.0,48,7368,29758,4476167,posNeg,37126,4476167,51,0,11bc01cfa95559e83eaa288c86435ef5a0ed3536,0,0,0,0,0,
20200816,TX,535582,3903459.0,,4439041,6267.0,,2269.0,,,,399572.0,A,8/16/2020 16:50,2020-08-16T16:50:00Z,08/16 12:50,9983.0,,2020-08-16T16:50:00Z,4439041.0,,,535582,,,,,318940.0,23192.0,,,,,,,17011.0,2591.0,48,6744,110621,4439041,posNeg,117365,4439041,143,0,7f9cf02f4f0c5783067506d0acefc7f0de33a971,0,0,0,0,0,
20200815,TX,528838,3792838.0,,4321676,6481.0,,2306.0,,,,393266.0,A,8/15/2020 16:00,2020-08-15T16:00:00Z,08/15 12:00,9840.0,,2020-08-15T16:00:00Z,4321676.0,,,528838,,,,,318938.0,23192.0,,,,,,,17011.0,2591.0,48,8245,31390,4321676,posNeg,39635,4321676,238,0,98fcde62dbc7ca6c35e8cc74a4e83014cd29c265,0,0,0,0,0,
20200814,TX,520593,3761448.0,,4282041,6632.0,,2380.0,,,,383717.0,A,8/14/2020 16:05,2020-08-14T16:05:00Z,08/14 12:05,9602.0,,2020-08-14T16:05:00Z,4282041.0,,,520593,,,,,312727.0,22100.0,,,,,,,17009.0,2591.0,48,7018,44260,4282041,posNeg,51278,4282041,313,0,9120cd1b4847d89b81271c41c8bab53ac3798ab1,0,0,0,0,0,
20200813,TX,513575,3717188.0,,4230763,6879.0,,2435.0,,,,375760.0,A,8/13/2020 17:30,2020-08-13T17:30:00Z,08/13 13:30,9289.0,,2020-08-13T17:30:00Z,4230763.0,,,513575,,,,,302012.0,20800.0,,,,,,,16699.0,2562.0,48,6755,117648,4230763,posNeg,124403,4230763,255,0,cb484a303c06ab14023c085633c645f65d28214a,0,0,0,0,0,
20200812,TX,506820,3599540.0,,4106360,7028.0,,2479.0,,,,367354.0,A,8/12/2020 17:05,2020-08-12T17:05:00Z,08/12 13:05,9034.0,,2020-08-12T17:05:00Z,4106360.0,,,506820,,,,,299037.0,20241.0,,,,,,,16409.0,2536.0,48,6200,11297,4106360,posNeg,17497,4106360,324,0,043c0f61766d055963ba19a3e15381cab8508c67,0,0,0,0,0,
20200811,TX,500620,3588243.0,,4088863,7216.0,,2495.0,,,,358312.0,A,8/11/2020 16:25,2020-08-11T16:25:00Z,08/11 12:25,8710.0,,2020-08-11T16:25:00Z,4088863.0,,,500620,,,,,295617.0,19800.0,,,,,,,15569.0,2432.0,48,9803,5399,4088863,posNeg,15202,4088863,220,0,5829d6c13d612132c9af1e159b85075cae0584da,0,0,0,0,0,
20200810,TX,490817,3582844.0,,4073661,7304.0,,2552.0,,,,349833.0,A,8/10/2020 18:20,2020-08-10T18:20:00Z,08/10 14:20,8490.0,,2020-08-10T18:20:00Z,4073661.0,,,490817,,,,,290944.0,18924.0,,,,,,,14841.0,2350.0,48,4455,43342,4073661,posNeg,47797,4073661,31,0,7799d0837b1da6cfb809fb56c2a9b4fd86cfb672,0,0,0,0,0,
20200809,TX,486362,3539502.0,,4025864,7437.0,,2608.0,,,,344845.0,A,8/9/2020 16:20,2020-08-09T16:20:00Z,08/09 12:20,8459.0,,2020-08-09T16:20:00Z,4025864.0,,,486362,,,,,288928.0,18561.0,,,,,,,14466.0,2319.0,48,4879,8328,4025864,posNeg,13207,4025864,116,0,fd1eb27d188e242679713865ded733094ea413c2,0,0,0,0,0,
20200808,TX,481483,3531174.0,,4012657,7872.0,,2730.0,,,,338343.0,A,8/8/2020 16:35,2020-08-08T16:35:00Z,08/08 12:35,8343.0,,2020-08-08T16:35:00Z,4012657.0,,,481483,,,,,280434.0,16924.0,,,,,,,13887.0,2227.0,48,6959,5166,4012657,posNeg,12125,4012657,247,0,423fdbefce747ba73f18330e071cb0fa7c18add0,0,0,0,0,0,
20200807,TX,474524,3526008.0,,4000532,8065.0,,2742.0,,,,331668.0,A,8/7/2020 17:45,2020-08-07T17:45:00Z,08/07 13:45,8096.0,,2020-08-07T17:45:00Z,4000532.0,,,474524,,,,,276849.0,15364.0,,,,,,,2206.0,505.0,48,7039,49013,4000532,posNeg,56052,4000532,293,0,8c64ffe0faea65f3ce04da4279902da08ddda782,0,0,0,0,0,
20200806,TX,467485,3476995.0,,3944480,8302.0,,2917.0,,,,323804.0,A,8/6/2020 16:15,2020-08-06T16:15:00Z,08/06 12:15,7803.0,,2020-08-06T16:15:00Z,3944480.0,,,467485,,,,,276849.0,15364.0,,,,,,,,,48,7598,28647,3944480,posNeg,36245,3944480,306,0,c39482495b1c902488e4737b8d9a32ec27cf2367,0,0,0,0,0,
20200805,TX,459887,3448348.0,,3908235,8455.0,,2917.0,,,,315652.0,A,8/5/2020 16:30,2020-08-05T16:30:00Z,08/05 12:30,7497.0,,2020-08-05T16:30:00Z,3908235.0,,,459887,,,,,268978.0,14535.0,,,,,,,,,48,8706,14681,3908235,posNeg,23387,3908235,236,0,aa5ffcd392da3fe741427b9bdfd7cdd01e1e698c,0,0,0,0,0,
20200804,TX,451181,3433667.0,,3884848,8674.0,,3006.0,,,,306262.0,A,8/4/2020 16:45,2020-08-04T16:45:00Z,08/04 12:45,7261.0,,2020-08-04T16:45:00Z,3884848.0,,,451181,,,,,258494.0,13478.0,,,,,,,,,48,9167,41095,3884848,posNeg,50262,3884848,245,0,74ec96fd6aa7c0f74d8ec9e4d493ba8d9767bb4a,0,0,0,0,0,
20200803,TX,442014,3392572.0,,3834586,8819.0,,3045.0,,,,297422.0,A,8/3/2020 16:20,2020-08-03T16:20:00Z,08/03 12:20,7016.0,,2020-08-03T16:20:00Z,3834586.0,,,442014,,,,,243777.0,12054.0,,,,,,,,,48,11529,75278,3834586,posNeg,86807,3834586,179,0,c58eddaadd240081e4e1c136e6ac957cfec15672,0,0,0,0,0,
20200802,TX,430485,3317294.0,,3747779,8969.0,,3117.0,,,,282604.0,A,8/1/2020 16:20,2020-08-01T16:20:00Z,08/01 12:20,6837.0,,2020-08-01T16:20:00Z,3747779.0,,,430485,,,,,242251.0,11812.0,,,,,,,,,48,0,0,3747779,posNeg,0,3747779,0,0,30550cc6fcac344e3c9b402cab006f8eed124e90,0,0,0,0,0,
20200801,TX,430485,3317294.0,,3747779,8969.0,,3117.0,,,,282604.0,A,8/1/2020 16:20,2020-08-01T16:20:00Z,08/01 12:20,6837.0,,2020-08-01T16:20:00Z,3747779.0,,,430485,,,,,242251.0,11812.0,,,,,,,,,48,9539,68488,3747779,posNeg,78027,3747779,268,0,424f617a61274f5d2d61c6e7617c577f2deec656,0,0,0,0,0,
